national,346.5468104874302
strategy,270.98735768165994
access,172.27365095984737
internet,169.64167795362772
service,141.8847038724047
deployment,130.1656978767135
access,80.57383787021276
infrastructure,52.387266442259694
extend,50.34115463233974
mobile,47.307922747976065
basic,44.98447223357908
affordable,42.80944325968376
task,41.44064753371183
include,39.87743524299347
performance,38.06511485818166
connectivity,37.75256708927502
connection,30.57318219993715
network,30.10764491565075
basic,30.031406561232068
association,29.782030899883353
deliver,29.64200595656944
bc,28.994549995543593
importance,28.75366047482745
provide,28.683160372177028
basin,27.735460243732646
residential,26.590422147828733
provision,24.582469675771236
development,24.269525074067605
redefine,24.19978609355694
penetration,23.36032578569092
full,20.78663699048784
vital,20.707065182152
universal,20.00285603957278
arctic,19.19381373432815
rollout,19.19381373432815
target,17.300908657954896
availability,17.227968148670392
talk,16.53918516973068
speed,15.441231968194526
report,14.883704739919951
important,13.920652722902318
reliable,13.039424915160259
expansion,12.901429488420824
capability,12.894227858822841
coverage,12.659425691404078
bring,12.415758001139595
nunavut,11.724746890128229
delivery,11.378481689743477
enhance,11.084294675861301
wireline,10.611355303318717
leader,10.431366881416217
gap,10.269697417844066
gap,10.269697417844066
state,10.154842211349909
america,9.829183882435315
affordance,9.623998706002196
attainment,9.623998706002196
bracket,9.623998706002196
audet,9.623998706002196
bilecs,9.623998706002196
dictionary,9.623998706002196
fonctionnaire,9.623998706002196
kettle,9.623998706002196
offshoot,9.623998706002196
slew,9.623998706002196
smell,9.623998706002196
taskforce,9.623998706002196
engender,9.623998706002196
flame,9.623998706002196
hopelessly,9.623998706002196
jupiter,9.623998706002196
reclassify,9.623998706002196
resemble,9.623998706002196
suppress,9.623998706002196
trainer,9.623998706002196
ultrafast,9.623998706002196
unsubsidized,9.623998706002196
measure,9.558090571784053
map,9.480433803296677
inclusion,9.372156171526393
